ranking,longitud,latitud,dist_canon_km,dist_puerto_km,profundidad_m,pendiente_grados,fitness_1,fitness_2,fitness_3,cumple_restricciones
1,-104.320007,19.049978,11.17,0.0,-100,10,5.8219,0.0026,1.0,SI
2,-104.320007,19.049978,11.17,0.0,-100,10,5.8219,0.0026,1.0,SI
3,-104.497087,18.700077,34.06,43.14,-100,10,5.2852,43.1407,1.0,SI
4,-104.497087,18.700077,34.06,43.14,-100,10,5.2852,43.1407,1.0,SI
5,-104.49634,18.722049,32.05,40.91,-100,10,5.3026,40.9145,1.0,SI
6,-104.004313,19.099908,31.91,33.64,-100,10,5.3039,33.6363,1.0,SI
7,-104.097512,19.099953,27.36,24.03,-100,10,5.3526,24.0319,1.0,SI
8,-104.116808,19.098604,26.06,22.03,-100,10,5.3696,22.0267,1.0,SI
9,-104.499997,19.099865,26.01,19.71,-100,10,5.3702,19.7117,1.0,SI
10,-104.320384,19.097193,16.4,5.25,-100,10,5.5746,5.2478,1.0,SI
11,-104.33249,19.077785,14.4,3.36,-100,10,5.6492,3.3568,1.0,SI
12,-104.385158,19.099674,18.42,8.8,-100,10,5.5149,8.7975,1.0,SI
13,-104.320007,19.055373,11.76,0.6,-100,10,5.7834,0.5975,1.0,SI
14,-104.111845,19.098565,26.35,22.53,-100,10,5.3656,22.5317,1.0,SI
15,-104.111845,19.098565,26.35,22.53,-100,10,5.3656,22.5317,1.0,SI
16,-104.321487,19.061352,12.44,1.27,-100,10,5.744,1.2719,1.0,SI
17,-104.376674,19.098727,17.96,8.05,-100,10,5.5274,8.0517,1.0,SI
18,-104.071008,19.099927,29.12,26.75,-100,10,5.332,26.7488,1.0,SI
19,-104.323316,19.092234,15.88,4.71,-100,10,5.5925,4.7091,1.0,SI
20,-104.323316,19.092234,15.88,4.71,-100,10,5.5925,4.7091,1.0,SI
21,-104.457375,19.094333,22.31,15.26,-100,10,5.4291,15.2554,1.0,SI
22,-104.457375,19.094333,22.31,15.26,-100,10,5.4291,15.2554,1.0,SI
23,-104.391058,19.099918,18.72,9.3,-100,10,5.5071,9.3044,1.0,SI
24,-104.323292,19.056552,11.93,0.81,-100,10,5.7734,0.8066,1.0,SI
25,-104.323845,19.086397,15.24,4.07,-100,10,5.6159,4.0673,1.0,SI
26,-104.463411,19.098603,23.09,16.01,-100,10,5.4151,16.0107,1.0,SI
27,-104.497087,18.713494,32.85,41.8,-100,10,5.2954,41.7998,1.0,SI
28,-104.028792,19.099945,31.59,31.1,-100,10,5.3068,31.1027,1.0,SI
29,-104.058601,19.094373,29.56,27.91,-100,10,5.3272,27.9103,1.0,SI
30,-104.366858,19.099939,17.71,7.42,-100,10,5.5344,7.4218,1.0,SI
31,-104.320007,19.076139,14.07,2.91,-100,10,5.6638,2.9066,1.0,SI
32,-104.320379,19.083433,14.88,3.72,-100,10,5.6298,3.7178,1.0,SI
33,-104.321666,19.077975,14.28,3.12,-100,10,5.6543,3.1156,1.0,SI
34,-104.320059,19.065147,12.85,1.68,-100,10,5.7222,1.6843,1.0,SI
35,-104.423156,19.09995,20.48,12.18,-100,10,5.4655,12.1806,1.0,SI
36,-104.430762,19.099346,20.9,12.87,-100,10,5.4566,12.8683,1.0,SI
37,-104.482154,19.099776,24.59,17.92,-100,10,5.3907,17.917,1.0,SI
38,-104.411791,19.09857,19.68,11.06,-100,10,5.4835,11.0552,1.0,SI
39,-104.4066,19.099846,19.51,10.66,-100,10,5.4875,10.6557,1.0,SI
40,-104.394536,19.099981,18.9,9.6,-100,10,5.5026,9.6043,1.0,SI
41,-104.32169,19.083521,14.9,3.73,-100,10,5.629,3.7316,1.0,SI
42,-104.320384,19.069218,13.3,2.14,-100,10,5.6992,2.1373,1.0,SI
43,-104.056194,19.099776,30.17,28.27,-100,10,5.3209,28.2703,1.0,SI
44,-104.325357,19.062327,12.59,1.48,-100,10,5.7356,1.4818,1.0,SI
45,-104.320528,19.052975,11.5,0.34,-100,10,5.7998,0.3354,1.0,SI
46,-104.092148,19.098559,27.58,24.55,-100,10,5.3499,24.5461,1.0,SI
47,-104.327137,19.069732,13.43,2.32,-100,10,5.6928,2.3188,1.0,SI
48,-104.322943,19.073122,13.76,2.59,-100,10,5.6776,2.5896,1.0,SI
49,-104.330127,19.099865,16.8,5.65,-100,10,5.5619,5.6459,1.0,SI
50,-104.047489,19.099844,30.81,29.17,-100,10,5.3144,29.1695,1.0,SI
51,-104.477775,19.097942,24.12,17.42,-100,10,5.3981,17.4165,1.0,SI
52,-104.477775,19.097942,24.12,17.42,-100,10,5.3981,17.4165,1.0,SI
53,-104.399079,19.099845,19.11,9.99,-100,10,5.4972,9.9891,1.0,SI
54,-104.414114,19.099896,19.94,11.34,-100,10,5.4776,11.3403,1.0,SI
55,-104.443696,19.099401,21.76,14.11,-100,10,5.4394,14.1121,1.0,SI
56,-104.443696,19.099401,21.76,14.11,-100,10,5.4394,14.1121,1.0,SI
57,-104.376205,19.098733,17.94,8.02,-100,10,5.5279,8.0157,1.0,SI
58,-104.497087,19.094324,25.38,19.25,-100,10,5.379,19.2519,1.0,SI
59,-104.467504,19.099912,23.49,16.46,-100,10,5.4083,16.4647,1.0,SI
60,-104.467504,19.099912,23.49,16.46,-100,10,5.4083,16.4647,1.0,SI
61,-104.416352,19.099896,20.07,11.55,-100,10,5.4746,11.546,1.0,SI
62,-104.321435,19.08971,15.58,4.42,-100,10,5.6031,4.4181,1.0,SI
63,-104.323584,19.089639,15.59,4.42,-100,10,5.6027,4.4237,1.0,SI
64,-104.320087,19.052403,11.44,0.27,-100,10,5.8041,0.2674,1.0,SI
65,-104.44158,19.098527,21.54,13.87,-100,10,5.4436,13.8695,1.0,SI
66,-104.491649,18.700077,33.7,42.9,-100,10,5.2882,42.8967,1.0,SI
67,-104.457616,19.099283,22.72,15.47,-100,10,5.4215,15.4654,1.0,SI
68,-104.076282,19.099848,28.75,26.21,-100,10,5.3361,26.2051,1.0,SI
69,-104.344257,19.099659,17.03,6.08,-100,10,5.5547,6.0819,1.0,SI
70,-104.006892,19.099883,31.86,33.37,-100,10,5.3043,33.3686,1.0,SI
71,-104.323233,19.067308,13.12,1.95,-100,10,5.7083,1.9544,1.0,SI
72,-104.498155,18.717815,32.54,41.42,-100,10,5.2982,41.4209,1.0,SI
73,-104.402563,19.099924,19.3,10.3,-100,10,5.4925,10.3004,1.0,SI
74,-104.358182,19.097159,17.13,6.6,-100,10,5.5516,6.603,1.0,SI
75,-104.320419,19.055711,11.81,0.64,-100,10,5.7809,0.6365,1.0,SI
76,-104.480574,19.097942,24.33,17.7,-100,10,5.3947,17.6968,1.0,SI
77,-104.084447,19.099898,28.2,25.37,-100,10,5.3424,25.3683,1.0,SI
78,-104.360421,19.098901,17.38,6.9,-100,10,5.5439,6.9001,1.0,SI
79,-104.047489,19.097844,30.65,29.13,-100,10,5.3159,29.1282,1.0,SI
80,-104.320117,19.059756,12.25,1.08,-100,10,5.7547,1.0849,1.0,SI
81,-104.320117,19.059756,12.25,1.08,-100,10,5.7547,1.0849,1.0,SI
82,-104.495791,19.099865,25.67,19.29,-100,10,5.3749,19.2879,1.0,SI
83,-104.328827,19.073913,13.92,2.82,-100,10,5.6702,2.8162,1.0,SI
84,-104.020883,19.099944,31.67,31.92,-100,10,5.3061,31.9208,1.0,SI
85,-104.037298,19.099978,31.54,30.22,-100,10,5.3074,30.2243,1.0,SI
86,-104.358182,19.097937,17.21,6.67,-100,10,5.5491,6.6719,1.0,SI
87,-104.326123,19.086781,15.3,4.14,-100,10,5.6134,4.1402,1.0,SI
88,-104.323548,19.057994,12.09,0.96,-100,10,5.7638,0.9639,1.0,SI
89,-104.323548,19.057994,12.09,0.96,-100,10,5.7638,0.9639,1.0,SI
90,-104.32396,19.062327,12.58,1.43,-100,10,5.7366,1.4325,1.0,SI
91,-104.040602,19.099377,31.29,29.87,-100,10,5.3097,29.8707,1.0,SI
92,-104.022607,19.099908,31.65,31.74,-100,10,5.3063,31.7417,1.0,SI
93,-104.057274,19.099456,30.06,28.15,-100,10,5.3219,28.1521,1.0,SI
94,-104.319928,19.098645,16.56,5.41,-100,10,5.5694,5.4091,1.0,SI
95,-104.489686,19.09997,25.2,18.68,-100,10,5.3817,18.6778,1.0,SI
96,-104.497087,18.70705,33.43,42.44,-100,10,5.2905,42.4426,1.0,SI
97,-104.497087,18.70705,33.43,42.44,-100,10,5.2905,42.4426,1.0,SI
98,-104.369401,19.097279,17.53,7.39,-100,10,5.5398,7.3885,1.0,SI
99,-104.457375,19.099283,22.71,15.44,-100,10,5.4218,15.4418,1.0,SI
100,-104.014121,19.099908,31.76,32.62,-100,10,5.3053,32.6202,1.0,SI
